id,proxy_address,ilk,collateral_amount,collateral_value_usd,debt_value
260,0x3746107F6125CD50Eb364b8A724a3a1aFe5B051E,ETH-A,0,0,0
137,0x3746107F6125CD50Eb364b8A724a3a1aFe5B051E,ETH-A,51,8863.544999999999999999745,5057.125231349321167372562935877184599345003998925
115,0x3746107F6125CD50Eb364b8A724a3a1aFe5B051E,ETH-A,1,173.794999999999999999995,25.23399974578879468991064422435334358384374329
82,0x3746107F6125CD50Eb364b8A724a3a1aFe5B051E,ETH-A,0.250039105806964037,43.455546393721314810413749804470965179815,0
78,0x3746107F6125CD50Eb364b8A724a3a1aFe5B051E,ETH-A,10,1737.94999999999999999995,524.88792937349313285596979711297735714525725247
36,0x3746107F6125CD50Eb364b8A724a3a1aFe5B051E,ETH-A,1,173.794999999999999999995,50.488216475488317920792326365346831490565303055
9,0x3746107F6125CD50Eb364b8A724a3a1aFe5B051E,ETH-A,0,0,0
691,0x5a9220BcE9cAD3Cc6c48060C2907a53e1Ac7F96F,ETH-A,0.3,52.1384999999999999999985,20.0358032491085003153473812160335565902712215
383,0x5a9220BcE9cAD3Cc6c48060C2907a53e1Ac7F96F,ETH-A,1,173.794999999999999999995,60.41869324596721985448066702431394424546112312
70,0x5a9220BcE9cAD3Cc6c48060C2907a53e1Ac7F96F,ETH-A,0.31,53.87644999999999999999845,22.21292357603325331170334532623210080415387833
10,0x5a9220BcE9cAD3Cc6c48060C2907a53e1Ac7F96F,ETH-A,0.2,34.758999999999999999999,20.19590225491542987128077970345100298638243555
385,0x1b36f8EC5aD5d87749A76177C49Cd5F55fbd1cCa,ETH-A,1,173.794999999999999999995,22.15236591108957921915965203771953739929581758
164,0x1b36f8EC5aD5d87749A76177C49Cd5F55fbd1cCa,ETH-A,0.3,52.1384999999999999999985,0
31,0x058A772C2aCbC02a5fd4225643c999068B5F1460,ETH-A,0.5,86.8974999999999999999975,20.195394089046928600649842420119718878401580145
393,0x867DdCaf7E4fcC6CdB67889AFBb61fB46D618D31,ETH-A,0,0,0
109,0xcB890254F5b521816828cDdA65f18De64D7E1f66,ETH-A,0.2,34.758999999999999999999,21.19697834004493721720050303899272673739073684
47,0xcB890254F5b521816828cDdA65f18De64D7E1f66,ETH-A,0,0,0
421,0x45cBd0C7Ac6052e11C2C1d6AbA040EdD16F3eb96,ETH-A,4,695.17999999999999999998,402.4356090736544252969673802421051626426586659
58,0xb63dFd539A4d639214a2A69B9BF58b4dD1FA0a9a,ETH-A,0,0,0
14,0xb63dFd539A4d639214a2A69B9BF58b4dD1FA0a9a,ETH-A,0,0,0
13,0xb63dFd539A4d639214a2A69B9BF58b4dD1FA0a9a,ETH-A,0.01,1.73794999999999999999995,0
2,0xb63dFd539A4d639214a2A69B9BF58b4dD1FA0a9a,BAT-A,1,0.231106832800000000005,0
1,0xb63dFd539A4d639214a2A69B9BF58b4dD1FA0a9a,ETH-A,0.25,43.44874999999999999999875,0
731,0x905E557145709cCcdcED6Fc4C84287BC7ff4790c,ETH-A,0,0,0
125,0x6c1003aC536401EaDD6c29359aBB852F6875B015,ETH-A,0.5,86.8974999999999999999975,20.18738960213319930458888013776365930368697492
454,0x37b342ba84066581Da9f167F840415468A9b4298,ETH-A,1,173.794999999999999999995,0
61,0x37b342ba84066581Da9f167F840415468A9b4298,ETH-A,0,0,0
60,0x37b342ba84066581Da9f167F840415468A9b4298,ETH-A,0,0,0
576,0x39b20f346537372639DF623e823167bada6F2bD1,ETH-A,4,695.17999999999999999998,320.979044362283817267098464786678386429901209275
